Id,Text,QuestionId
1,لقد خشي أن يسخر منه الأطفال,1
2,لقد توقع أن يسخر منه الأطفال,1
3,لأن سالم طالب جديد وضعيف,1
4,لكي يستمتعوا معاً,2
5,لأن آدم وسالم يحبون لعب كرة القدم,2
6,لكي يتعرفوا على بعض,2
7,ليرى كل منهما من يتقنها أكثر,2
8,لأن آدم ساعده بأن يثبت أنه قوي,3
9,لأن آدم جعله يلعب كرة القدم ويقوز بها,3
10,لأن آدم ساعده ليلعب مع الأقوياء ويثبت أنه ليس ضعيف,3
11,لأن آدم دافع عنه,3
12,يجب أن نعاملهم بلطف,4
13,يجب أن نحترمهم,4
14,يجب أن لا نقترب من اغراضهم حتى لا تنكسر,4
15,يجب أن نساعدهم,4
16,علينا أن لا نصاب بالذعر ونطردها بهدوء,5
17,علينا أن نكون هادئين,5
18,علينا أن لا نصرخ,5
19,لا لأنه لا وجود للوحوش,6
20,لا لأنه لا يوجد وحش,6
21,لكي يخيفوا الأطفال المتبقين,7
22,من أجل ان لا يقترب أحد من الملعب ويلعبوا وحدهم به,7
23,عندما يعتذرون,8
24,عندما يعترفوا بخطئهم,8
25,ترفع الشمس قطرات المياه الى الغيوم ثم تتجمع القطرات وتنزل الى الارض,9
26,ترتفع قطرات المياه الى الغيوم ثم تجمع وتنزل,9
27,في نهاية فصل الشتاء تظهر الشمس وترفع قطرات المياه لتجتمع في الغيوم ثم تنزل,9
28,هي امطار خفيفة تنزل لتروي النباتات صباحاً,10
29,هي مياه ترطب النباتات صباحاً,10
30,"كاذب ",11
31,"يحب النوم كثيراً ",11
32,"لا يحب العمل ويعتمد على الآخرين في طعامه ",11
33,"مخادع ",11
34,"بعث الأرنب لسنجوب الطعام مع القرد ",12
35,"أخبر الأرنب الحيوانات بمرض سنجوب ",12
36,"ذهبت الحيوانات لزيارة سنجوب المريض ",12
37,حرصت الحيوانات على مساعدة سنجوب والإطمئنان عليه,12
38,"إنزلقت قدم القرد من الغصن ",13
39,"سقط القرد بداخل النهر ",13
40,"بدأ القرد بالصراخ وطلب النجدة ",13
41,جرف النهر ميمون بعيداً,13
42,"لأن القرد اعتاد على الكذب ",14
43,"لم يصدق أحد حقيقة غرق القرد ",14
44,"ظنت الحيوانات أن صراخ القرد لطلب النجدة كذب ",14
45,"عقاب للقرد ميمون على أكاذيبه ",14
46,"أن الكذب تصرف خاطئ ",15
47,"الكذب يوقع الإنسان بالمشاكل ",15
48,"كثرة الكذب تجعل الناس لا يصدقوني ",15
49,"قول الصدق تجعل الناس تحبني ",15
50,"كانت الغابة خضراء اللون ",16
51,"كانت مليئة بالطيور التي تُحلق عالياً في السماء ",16
52,"كان يوجد بها ضفادع تصطاد الحشرات المزعجة بألسنتها ",16
53,"يوجد في الغابة بطة كبيرة تعلم أبنائها على السباحة ",16
54,"لأن الضفدع معتاد على النوم على ورق الأشجار ",17
55,"لأن الضفدع لا يستطيع النوم على أغصان الأشجار الصغيرة ",17
56,"لأن الضفدع عادة ما يضعها فوق مياه البحيرة لينام ",17
57,"أُعجب الضفدع بحياة السلحفاة لأنها تحمل بيتاً ليست بحاجة إلى تجديده ",18
58,"أُعجب الضفدع بحياة السلحفاة لأنها لا ترعى صغاراً ",18
59,أُعجب الضفدع بحياة السلحفاة لأنها ليست بحاجة إلى تعليم أحد الطيران أو المشي,18
60,"أُعجب الضفدع بحياة السلحفاة لأنها تأكل العشب بهدوء ",18
61,"تعلم الضفدع بأن كل إنسان له حياة يعيشها كما خلقه الله ",19
62,"أن الله سبحانه وتعالى خلقنا وأحسن خلقنا ",19
63,"يجب علينا أن لا ننظر لحياة الغير لمقارنتها بحياتنا ",19
64,"إحدى السلاحف أرادت أن تصبح سريعة كالأرنب وتجوب الغابة كلها ",20
65,"إحدى السلاحف أرادت أن تطير وتحلق كالغراب ",20
66,"إحدى السلاحف أرادت أن تمتلك عضلات قوية وأنياب حادة ",20
67,"قام السيل بجرف الأرنب الذي لم تساعده سرعته على النجاة من الغرق ",21
68,"تبللت أجنحة الغراب المغرور ولم تعد قوية على الطيران الأسد لم يستطيع التمسك بالصخرة فغرق داخل الماء ولم تنقذه أنيابه قام السيل بجرف الأرنب الذي لم تساعده سرعته على النجاة من الغرق ",21
69,"الأسد لم يستطيع التمسك بالصخرة فغرق داخل الماء ولم تنقذه أنيابه ",21
70,"أسرعت بالسباحة ونجت من المياه ",22
71,قامت السلاحف الثلاثة بإحضار جذع شجرة مكسور,22
72,"ألقت السلاحف بالجذع في الماء وعلق بين صخرتين ",22
73,"تمكنت الحيوانات من التمسك به ",22
74,"لكل مخلوق شيء ميزه الله به عن باقي الحيوانات ",23
75,"أنه يجب عدم السخرية من الأخرين ",23
76,"أنه يجب الإبتعاد عن الغرور ",23
78,"بدأت الغولة لولو باللعب مع الأطفال ",24
79,"قامت بعمل قفزات عالية تصل لسقف المنزل وتعود للأرض ",24
80,"تدور حول نفسها كثيراً ولا تتعب ",24
81,"تُخرج من شعرها الكثيف الزهور والفراشات الجميلة ",24
82,لأن الأم خافت من أن تأكلهم الغولة الأم,25
83,"لأن الأطفال الصغار خائفين من اقترابها من المنزل ",25
84,"لأن العائلة كانت غير واثقة من أن الغولة الأم لن تلحق بهم الأذى ",25
85,"أن الرجل قد أطعم لولو من طعامهم ",26
86,"قامت لولو باللعب مع أطفاله ",26
87,"نامت الغولة لولو في فراشه ",26
88,"ذهبت المعلقة للبحث عن السمكة لولو ",27
89,"ذهبت الحقيبة السحرية للبحث عن السمكة لولو ",27
90,"ذهبت الخريطة للبحث عن السمكة لولو ",27
